NroFactura,IDCliente,Descripcion,Categoria,Cantidad,PrecioUnitario,PrecioTotal,FechaFactura,Ciudad
FAC02248,C0176,Perchero Entrada,Decoracion,4,33200.0,132800.0,2023-09-27,Mendoza
FAC02280,C0183,Lazo Decorativo,Regaleria,2,1200.0,2400.0,2023-09-30,Buenos Aires
FAC02280,C0183,Pimentero Porcelana,Cocina,3,10600.0,31800.0,2023-09-30,Buenos Aires
FAC02280,C0183,Dispensador Jabon,Bano,4,13600.0,54400.0,2023-09-30,Buenos Aires
FAC03061,C0298,Portavelas Cristal,Velas,2,13600.0,27200.0,2023-10-02,Buenos Aires
FAC03061,C0298,Vela Aromatica Vainilla,Velas,1,5300.0,5300.0,2023-10-02,Buenos Aires
FAC01720,C0099,Vaso Bambu,Bano,2,7600.0,15200.0,2023-10-06,Mar del Plata
FAC01720,C0099,Bolsa Regalo Pequeña,Regaleria,4,2300.0,9200.0,2023-10-06,Mar del Plata
FAC01082,C0014,Bolsa Regalo Grande,Regaleria,3,3000.0,9000.0,2023-10-06,La Plata
FAC01720,C0099,Salero Porcelana,Cocina,4,10600.0,42400.0,2023-10-06,Mar del Plata
FAC01082,C0014,Esencia Rosa,Aromatizacion,2,6000.0,12000.0,2023-10-06,La Plata
FAC01082,C0014,Set Velas x3,Velas,4,15100.0,60400.0,2023-10-06,La Plata
FAC01082,C0014,Esencia Jazmin,Aromatizacion,1,6000.0,6000.0,2023-10-06,La Plata
FAC01082,C0014,Cojin Decorativo,Decoracion,3,19600.0,58800.0,2023-10-06,La Plata
FAC01720,C0099,Jabonera Ceramica,Bano,4,9800.0,39200.0,2023-10-06,Mar del Plata
FAC03684,C0386,Lazo Decorativo,Regaleria,2,1200.0,2400.0,2023-10-14,Buenos Aires
FAC03684,C0386,Juego de Te x6,Cocina,1,33200.0,33200.0,2023-10-14,Buenos Aires
FAC01125,C0021,Dispensador Jabon,Bano,3,13600.0,40800.0,2023-10-15,Buenos Aires
FAC01125,C0021,Set Velas x3,Velas,1,15100.0,15100.0,2023-10-15,Buenos Aires
FAC01125,C0021,Salero Porcelana,Cocina,1,10600.0,10600.0,2023-10-15,Buenos Aires
FAC01125,C0021,Espejo Redondo,Decoracion,3,30200.0,90600.0,2023-10-15,Buenos Aires
FAC02816,C0258,Jabonera Ceramica,Bano,3,9800.0,29400.0,2023-10-20,Buenos Aires
FAC02816,C0258,Perchero Entrada,Decoracion,2,33200.0,66400.0,2023-10-20,Buenos Aires
FAC02816,C0258,Reloj Pared Madera,Decoracion,4,37800.0,151200.0,2023-10-20,Buenos Aires
FAC02816,C0258,Cojin Decorativo,Decoracion,3,19600.0,58800.0,2023-10-20,Buenos Aires
FAC01606,C0083,Aromatizador Hogar,Aromatizacion,2,11300.0,22600.0,2023-10-24,Buenos Aires
FAC01606,C0083,Esencia Rosa,Aromatizacion,2,6000.0,12000.0,2023-10-24,Buenos Aires
FAC02134,C0160,Juego de Te x6,Cocina,1,33200.0,33200.0,2023-10-25,Córdoba
FAC02134,C0160,Set Sal y Pimienta,Cocina,2,19600.0,39200.0,2023-10-25,Córdoba
FAC02134,C0160,Taza Ceramica Blanca,Cocina,4,8300.0,33200.0,2023-10-25,Córdoba
FAC02134,C0160,Juego de Te x6,Cocina,3,33200.0,99600.0,2023-10-25,Córdoba
FAC01420,C0060,Vaso Bambu,Bano,4,7600.0,30400.0,2023-10-27,Rosario
FAC01420,C0060,Perchero Entrada,Decoracion,2,33200.0,66400.0,2023-10-27,Rosario
FAC01420,C0060,Jabonera Ceramica,Bano,4,9800.0,39200.0,2023-10-27,Rosario
FAC02445,C0214,Marco Foto 20x30,Decoracion,1,15100.0,15100.0,2023-11-01,Buenos Aires
FAC02445,C0214,Marco Foto 10x15,Decoracion,3,9100.0,27300.0,2023-11-01,Buenos Aires
FAC01126,C0021,Esencia Jazmin,Aromatizacion,3,6000.0,18000.0,2023-11-05,Córdoba
FAC01126,C0021,Juego de Te x6,Cocina,4,33200.0,132800.0,2023-11-05,Córdoba
FAC01126,C0021,Esencia Jazmin,Aromatizacion,1,6000.0,6000.0,2023-11-05,Córdoba
FAC01126,C0021,Jabonera Ceramica,Bano,3,9800.0,29400.0,2023-11-05,Córdoba
FAC02444,C0214,Set Velas x3,Velas,3,15100.0,45300.0,2023-11-08,Buenos Aires
FAC02444,C0214,Juego de Te x6,Cocina,1,33200.0,33200.0,2023-11-08,Buenos Aires
FAC02444,C0214,Bolsa Regalo Pequeña,Regaleria,4,2300.0,9200.0,2023-11-08,Buenos Aires
FAC02444,C0214,Perchero Entrada,Decoracion,4,33200.0,132800.0,2023-11-08,Buenos Aires
FAC03523,C0367,Maceta Ceramica,Decoracion,2,12100.0,24200.0,2023-11-13,Buenos Aires
FAC03523,C0367,Tabla de Cortar Madera,Cocina,3,18100.0,54300.0,2023-11-13,Buenos Aires
FAC03523,C0367,Guirnalda LED,Decoracion,2,16600.0,33200.0,2023-11-13,Buenos Aires
FAC03523,C0367,Dispensador Jabon,Bano,4,13600.0,54400.0,2023-11-13,Buenos Aires
FAC03523,C0367,Aromatizador Hogar,Aromatizacion,3,11300.0,33900.0,2023-11-13,Buenos Aires
FAC02264,C0180,Tabla de Cortar Madera,Cocina,2,18100.0,36200.0,2023-11-14,Rosario
FAC02264,C0180,Set Sal y Pimienta,Cocina,4,19600.0,78400.0,2023-11-14,Rosario
FAC02264,C0180,Aromatizador Hogar,Aromatizacion,3,11300.0,33900.0,2023-11-14,Rosario
FAC01295,C0042,Juego de Te x6,Cocina,4,33200.0,132800.0,2023-11-15,Rosario
FAC01295,C0042,Taza Ceramica Blanca,Cocina,4,8300.0,33200.0,2023-11-15,Rosario
FAC01295,C0042,Set Velas x3,Velas,2,15100.0,30200.0,2023-11-15,Rosario
FAC01295,C0042,Salero Porcelana,Cocina,4,10600.0,42400.0,2023-11-15,Rosario
FAC03063,C0298,Bolsa Regalo Pequeña,Regaleria,4,2300.0,9200.0,2023-11-16,Córdoba
FAC03063,C0298,Mantel Navideno,Decoracion,1,22600.0,22600.0,2023-11-16,Córdoba
FAC03063,C0298,Set Velas x3,Velas,2,15100.0,30200.0,2023-11-16,Córdoba
FAC03063,C0298,Espejo Redondo,Decoracion,4,30200.0,120800.0,2023-11-16,Córdoba
FAC03063,C0298,Toallero Bambu,Bano,1,24200.0,24200.0,2023-11-16,Córdoba
FAC03524,C0367,Marco Foto 10x15,Decoracion,1,9100.0,9100.0,2023-11-19,Buenos Aires
FAC03524,C0367,Difusor Cana,Aromatizacion,2,21100.0,42200.0,2023-11-19,Buenos Aires
FAC03524,C0367,Esencia Jazmin,Aromatizacion,2,6000.0,12000.0,2023-11-19,Buenos Aires
FAC01347,C0049,Vela Aromatica Lavanda,Velas,4,5300.0,21200.0,2023-11-19,Rosario
FAC01347,C0049,Dispensador Jabon,Bano,2,13600.0,27200.0,2023-11-19,Rosario
FAC01347,C0049,Cuadro Motivacional,Decoracion,4,25700.0,102800.0,2023-11-19,Rosario
FAC03410,C0349,Set Sal y Pimienta,Cocina,1,19600.0,19600.0,2023-11-24,Rosario
FAC03410,C0349,Mantel Navideno,Decoracion,2,22600.0,45200.0,2023-11-24,Rosario
FAC02211,C0171,Marco Foto 20x30,Decoracion,2,15100.0,30200.0,2023-11-24,Buenos Aires
FAC02211,C0171,Tabla de Cortar Madera,Cocina,1,18100.0,18100.0,2023-11-24,Buenos Aires
FAC02211,C0171,Taza Ceramica Negra,Cocina,1,8300.0,8300.0,2023-11-24,Buenos Aires
FAC01745,C0105,Portavelas Cristal,Velas,3,13600.0,40800.0,2023-11-25,Buenos Aires
FAC01745,C0105,Esencia Rosa,Aromatizacion,2,6000.0,12000.0,2023-11-25,Buenos Aires
FAC01745,C0105,Album de Fotos,Regaleria,2,18100.0,36200.0,2023-11-25,Buenos Aires
FAC01681,C0093,Esencia Jazmin,Aromatizacion,3,6000.0,18000.0,2023-11-29,Rosario
FAC01681,C0093,Difusor Cana,Aromatizacion,4,21100.0,84400.0,2023-11-29,Rosario
FAC01681,C0093,Difusor Cana,Aromatizacion,1,21100.0,21100.0,2023-11-29,Rosario
FAC01681,C0093,Bolsa Regalo Pequeña,Regaleria,1,2300.0,2300.0,2023-11-29,Rosario
FAC02839,C0260,Jabonera Ceramica,Bano,4,9800.0,39200.0,2023-11-30,Mendoza
FAC02839,C0260,Bolsa Regalo Pequeña,Regaleria,3,2300.0,6900.0,2023-11-30,Mendoza
FAC02839,C0260,Cuadro Motivacional,Decoracion,3,25700.0,77100.0,2023-11-30,Mendoza
FAC03169,C0316,Set Sal y Pimienta,Cocina,2,19600.0,39200.0,2023-12-01,Rosario
FAC03157,C0311,Guirnalda LED,Decoracion,1,16600.0,16600.0,2023-12-01,Mendoza
FAC03110,C0304,Vaso Bambu,Bano,3,7600.0,22800.0,2023-12-01,Rosario
FAC03110,C0304,Espejo Redondo,Decoracion,4,30200.0,120800.0,2023-12-01,Rosario
FAC03157,C0311,Planta Artificial,Decoracion,4,16600.0,66400.0,2023-12-01,Mendoza
FAC03110,C0304,Jabonera Ceramica,Bano,4,9800.0,39200.0,2023-12-01,Rosario
FAC03110,C0304,Vela Aromatica Lavanda,Velas,1,5300.0,5300.0,2023-12-01,Rosario
FAC03169,C0316,Tarjeta Saludo,Regaleria,4,1800.0,7200.0,2023-12-01,Rosario
FAC03157,C0311,Esencia Jazmin,Aromatizacion,3,6000.0,18000.0,2023-12-01,Mendoza
FAC03157,C0311,Lazo Decorativo,Regaleria,4,1200.0,4800.0,2023-12-01,Mendoza
FAC03157,C0311,Marco Foto 20x30,Decoracion,2,15100.0,30200.0,2023-12-01,Mendoza
FAC01829,C0118,Marco Foto 10x15,Decoracion,3,9100.0,27300.0,2023-12-03,Buenos Aires
FAC01829,C0118,Marco Foto 20x30,Decoracion,4,15100.0,60400.0,2023-12-03,Buenos Aires
FAC01899,C0126,Vaso Bambu,Bano,2,7600.0,15200.0,2023-12-03,Buenos Aires
FAC01829,C0118,Album de Fotos,Regaleria,4,18100.0,72400.0,2023-12-03,Buenos Aires
FAC01899,C0126,Jabonera Ceramica,Bano,3,9800.0,29400.0,2023-12-03,Buenos Aires
FAC02164,C0167,Esencia Rosa,Aromatizacion,2,6000.0,12000.0,2023-12-04,Córdoba
FAC02164,C0167,Difusor Cana,Aromatizacion,2,21100.0,42200.0,2023-12-04,Córdoba
FAC03679,C0385,Delantal de Cocina,Cocina,3,12800.0,38400.0,2023-12-05,Mar del Plata
FAC02524,C0222,Juego de Te x6,Cocina,1,33200.0,33200.0,2023-12-05,Córdoba
FAC02524,C0222,Taza Ceramica Negra,Cocina,1,8300.0,8300.0,2023-12-05,Córdoba
FAC03679,C0385,Papel Tissue Colores,Regaleria,3,1500.0,4500.0,2023-12-05,Mar del Plata
FAC02524,C0222,Taza Ceramica Blanca,Cocina,3,8300.0,24900.0,2023-12-05,Córdoba
FAC03679,C0385,Taza Ceramica Blanca,Cocina,2,8300.0,16600.0,2023-12-05,Mar del Plata
FAC03099,C0302,Maceta Ceramica,Decoracion,2,12100.0,24200.0,2023-12-07,Buenos Aires
FAC02131,C0159,Lazo Decorativo,Regaleria,1,1200.0,1200.0,2023-12-07,Buenos Aires
FAC02131,C0159,Perchero Entrada,Decoracion,2,33200.0,66400.0,2023-12-07,Buenos Aires
FAC02131,C0159,Portavelas Cristal,Velas,4,13600.0,54400.0,2023-12-07,Buenos Aires
FAC03099,C0302,Planta Artificial,Decoracion,3,16600.0,49800.0,2023-12-07,Buenos Aires
FAC02131,C0159,Bolsa Regalo Grande,Regaleria,3,3000.0,9000.0,2023-12-07,Buenos Aires
FAC02131,C0159,Cesta Desayuno,Regaleria,1,27200.0,27200.0,2023-12-07,Buenos Aires
FAC02148,C0163,Taza Ceramica Blanca,Cocina,1,8300.0,8300.0,2023-12-08,La Plata
FAC02148,C0163,Tabla de Cortar Madera,Cocina,2,18100.0,36200.0,2023-12-08,La Plata
FAC02148,C0163,Esencia Rosa,Aromatizacion,1,6000.0,6000.0,2023-12-08,La Plata
FAC02148,C0163,Toallero Bambu,Bano,3,24200.0,72600.0,2023-12-08,La Plata
FAC01607,C0084,Reloj Pared Madera,Decoracion,1,37800.0,37800.0,2023-12-09,Buenos Aires
FAC01607,C0084,Esencia Rosa,Aromatizacion,2,6000.0,12000.0,2023-12-09,Buenos Aires
FAC02442,C0213,Mantel Navideno,Decoracion,1,22600.0,22600.0,2023-12-10,Mar del Plata
FAC01599,C0081,Set Sal y Pimienta,Cocina,4,19600.0,78400.0,2023-12-10,Rosario
FAC01599,C0081,Tabla de Cortar Madera,Cocina,2,18100.0,36200.0,2023-12-10,Rosario
FAC02442,C0213,Vaso Bambu,Bano,3,7600.0,22800.0,2023-12-10,Mar del Plata
FAC02562,C0225,Album de Fotos,Regaleria,4,18100.0,72400.0,2023-12-10,Mendoza
FAC01599,C0081,Bolsa Regalo Pequeña,Regaleria,1,2300.0,2300.0,2023-12-10,Rosario
FAC02562,C0225,Juego de Te x6,Cocina,3,33200.0,99600.0,2023-12-10,Mendoza
FAC02562,C0225,Toallero Bambu,Bano,4,24200.0,96800.0,2023-12-10,Mendoza
FAC02562,C0225,Jabonera Ceramica,Bano,1,9800.0,9800.0,2023-12-10,Mendoza
FAC02442,C0213,Guirnalda LED,Decoracion,4,16600.0,66400.0,2023-12-10,Mar del Plata
FAC02562,C0225,Servilletas Papel x20,Cocina,4,3800.0,15200.0,2023-12-10,Mendoza
FAC01599,C0081,Vaso Bambu,Bano,1,7600.0,7600.0,2023-12-10,Rosario
FAC01388,C0055,Planta Artificial,Decoracion,1,16600.0,16600.0,2023-12-11,Rosario
FAC01388,C0055,Servilletas Papel x20,Cocina,1,3800.0,3800.0,2023-12-11,Rosario
FAC01235,C0033,Vela Aromatica Lavanda,Velas,4,5300.0,21200.0,2023-12-11,Buenos Aires
FAC01388,C0055,Tabla de Cortar Madera,Cocina,4,18100.0,72400.0,2023-12-11,Rosario
FAC01388,C0055,Salero Porcelana,Cocina,1,10600.0,10600.0,2023-12-11,Rosario
FAC01388,C0055,Reloj Pared Madera,Decoracion,2,37800.0,75600.0,2023-12-11,Rosario
FAC01235,C0033,Tarjeta Saludo,Regaleria,4,1800.0,7200.0,2023-12-11,Buenos Aires
FAC01235,C0033,Dispensador Jabon,Bano,2,13600.0,27200.0,2023-12-11,Buenos Aires
FAC01235,C0033,Vela Aromatica Vainilla,Velas,2,5300.0,10600.0,2023-12-11,Buenos Aires
FAC01235,C0033,Portavelas Cristal,Velas,4,13600.0,54400.0,2023-12-11,Buenos Aires
FAC03681,C0385,Esencia Jazmin,Aromatizacion,4,6000.0,24000.0,2023-12-12,Buenos Aires
FAC02212,C0171,Papel Tissue Colores,Regaleria,2,1500.0,3000.0,2023-12-12,Buenos Aires
FAC02212,C0171,Portavelas Cristal,Velas,3,13600.0,40800.0,2023-12-12,Buenos Aires
FAC02212,C0171,Vela Aromatica Vainilla,Velas,2,5300.0,10600.0,2023-12-12,Buenos Aires
FAC03681,C0385,Tarjeta Saludo,Regaleria,2,1800.0,3600.0,2023-12-12,Buenos Aires
FAC03681,C0385,Servilletas Papel x20,Cocina,1,3800.0,3800.0,2023-12-12,Buenos Aires
FAC02212,C0171,Vela Aromatica Lavanda,Velas,2,5300.0,10600.0,2023-12-12,Buenos Aires
FAC03681,C0385,Mantel Navideno,Decoracion,4,22600.0,90400.0,2023-12-12,Buenos Aires
FAC01400,C0057,Portavelas Cristal,Velas,3,13600.0,40800.0,2023-12-13,Rosario
FAC01234,C0033,Toallero Bambu,Bano,4,24200.0,96800.0,2023-12-13,Mar del Plata
FAC01234,C0033,Vaso Bambu,Bano,4,7600.0,30400.0,2023-12-13,Mar del Plata
FAC01234,C0033,Difusor Cana,Aromatizacion,3,21100.0,63300.0,2023-12-13,Mar del Plata
FAC01400,C0057,Vela Aromatica Vainilla,Velas,3,5300.0,15900.0,2023-12-13,Rosario
FAC01400,C0057,Vela Aromatica Lavanda,Velas,3,5300.0,15900.0,2023-12-13,Rosario
FAC01234,C0033,Set Velas x3,Velas,3,15100.0,45300.0,2023-12-13,Mar del Plata
FAC01234,C0033,Esencia Rosa,Aromatizacion,3,6000.0,18000.0,2023-12-13,Mar del Plata
FAC02150,C0164,Servilletas Papel x20,Cocina,1,3800.0,3800.0,2023-12-14,Córdoba
FAC01058,C0011,Maceta Ceramica,Decoracion,1,12100.0,12100.0,2023-12-14,Buenos Aires
FAC01058,C0011,Vaso Bambu,Bano,2,7600.0,15200.0,2023-12-14,Buenos Aires
FAC02150,C0164,Portavelas Cristal,Velas,3,13600.0,40800.0,2023-12-14,Córdoba
FAC02150,C0164,Esencia Rosa,Aromatizacion,3,6000.0,18000.0,2023-12-14,Córdoba
FAC01058,C0011,Lazo Decorativo,Regaleria,3,1200.0,3600.0,2023-12-14,Buenos Aires
FAC01058,C0011,Papel Tissue Colores,Regaleria,2,1500.0,3000.0,2023-12-14,Buenos Aires
FAC01058,C0011,Bolsa Regalo Grande,Regaleria,1,3000.0,3000.0,2023-12-14,Buenos Aires
FAC03680,C0385,Set Sal y Pimienta,Cocina,1,19600.0,19600.0,2023-12-14,Rosario
FAC02150,C0164,Vela Aromatica Vainilla,Velas,3,5300.0,15900.0,2023-12-14,Córdoba
FAC03680,C0385,Tabla de Cortar Madera,Cocina,3,18100.0,54300.0,2023-12-14,Rosario
FAC03680,C0385,Taza Ceramica Blanca,Cocina,4,8300.0,33200.0,2023-12-14,Rosario
FAC01232,C0033,Guirnalda LED,Decoracion,4,16600.0,66400.0,2023-12-15,Mar del Plata
FAC01232,C0033,Mantel Navideno,Decoracion,1,22600.0,22600.0,2023-12-15,Mar del Plata
FAC01232,C0033,Juego de Te x6,Cocina,3,33200.0,99600.0,2023-12-15,Mar del Plata
FAC01232,C0033,Delantal de Cocina,Cocina,2,12800.0,25600.0,2023-12-15,Mar del Plata
FAC02267,C0181,Set Sal y Pimienta,Cocina,1,19600.0,19600.0,2023-12-16,Buenos Aires
FAC02267,C0181,Salero Porcelana,Cocina,2,10600.0,21200.0,2023-12-16,Buenos Aires
FAC02267,C0181,Lazo Decorativo,Regaleria,3,1200.0,3600.0,2023-12-16,Buenos Aires
FAC02267,C0181,Bolsa Regalo Grande,Regaleria,2,3000.0,6000.0,2023-12-16,Buenos Aires
FAC02267,C0181,Cesta Desayuno,Regaleria,4,27200.0,108800.0,2023-12-16,Buenos Aires
FAC02443,C0213,Esencia Jazmin,Aromatizacion,2,6000.0,12000.0,2023-12-18,Buenos Aires
FAC02443,C0213,Difusor Cana,Aromatizacion,4,21100.0,84400.0,2023-12-18,Buenos Aires
FAC02443,C0213,Aromatizador Hogar,Aromatizacion,1,11300.0,11300.0,2023-12-18,Buenos Aires
FAC02443,C0213,Aromatizador Hogar,Aromatizacion,3,11300.0,33900.0,2023-12-18,Buenos Aires
FAC03057,C0296,Marco Foto 10x15,Decoracion,4,9100.0,36400.0,2023-12-19,Córdoba
FAC03057,C0296,Lazo Decorativo,Regaleria,4,1200.0,4800.0,2023-12-19,Córdoba
FAC03057,C0296,Jabonera Ceramica,Bano,1,9800.0,9800.0,2023-12-19,Córdoba
FAC03218,C0322,Vela Aromatica Lavanda,Velas,2,5300.0,10600.0,2023-12-19,Mendoza
FAC03218,C0322,Portavelas Cristal,Velas,2,13600.0,27200.0,2023-12-19,Mendoza
FAC03570,C0376,Vaso Bambu,Bano,3,7600.0,22800.0,2023-12-20,Buenos Aires
FAC03570,C0376,Jabonera Ceramica,Bano,4,9800.0,39200.0,2023-12-20,Buenos Aires
FAC03034,C0290,Cojin Decorativo,Decoracion,1,19600.0,19600.0,2023-12-20,Buenos Aires
FAC03034,C0290,Taza Ceramica Negra,Cocina,2,8300.0,16600.0,2023-12-20,Buenos Aires
FAC03034,C0290,Tarjeta Saludo,Regaleria,3,1800.0,5400.0,2023-12-20,Buenos Aires
FAC03034,C0290,Espejo Redondo,Decoracion,1,30200.0,30200.0,2023-12-20,Buenos Aires
FAC02169,C0167,Mantel Navideno,Decoracion,4,22600.0,90400.0,2023-12-22,Buenos Aires
FAC01510,C0069,Bolsa Regalo Grande,Regaleria,3,3000.0,9000.0,2023-12-22,La Plata
FAC01510,C0069,Papel Tissue Colores,Regaleria,2,1500.0,3000.0,2023-12-22,La Plata
FAC01510,C0069,Lazo Decorativo,Regaleria,2,1200.0,2400.0,2023-12-22,La Plata
FAC01510,C0069,Mantel Navideno,Decoracion,1,22600.0,22600.0,2023-12-22,La Plata
FAC02133,C0160,Espejo Redondo,Decoracion,3,30200.0,90600.0,2023-12-22,Buenos Aires
FAC02133,C0160,Bolsa Regalo Grande,Regaleria,3,3000.0,9000.0,2023-12-22,Buenos Aires
FAC02133,C0160,Esencia Jazmin,Aromatizacion,4,6000.0,24000.0,2023-12-22,Buenos Aires
FAC02133,C0160,Difusor Cana,Aromatizacion,4,21100.0,84400.0,2023-12-22,Buenos Aires
FAC02169,C0167,Perchero Entrada,Decoracion,3,33200.0,99600.0,2023-12-22,Buenos Aires
FAC02169,C0167,Cojin Decorativo,Decoracion,1,19600.0,19600.0,2023-12-22,Buenos Aires
FAC02169,C0167,Bolsa Regalo Grande,Regaleria,2,3000.0,6000.0,2023-12-22,Buenos Aires
FAC02169,C0167,Tarjeta Saludo,Regaleria,2,1800.0,3600.0,2023-12-22,Buenos Aires
FAC02133,C0160,Servilletas Papel x20,Cocina,3,3800.0,11400.0,2023-12-22,Buenos Aires
FAC02578,C0228,Vaso Bambu,Bano,2,7600.0,15200.0,2023-12-23,Buenos Aires
FAC01893,C0126,Tarjeta Saludo,Regaleria,2,1800.0,3600.0,2023-12-23,Buenos Aires
FAC01893,C0126,Papel Tissue Colores,Regaleria,3,1500.0,4500.0,2023-12-23,Buenos Aires
FAC01893,C0126,Esencia Jazmin,Aromatizacion,4,6000.0,24000.0,2023-12-23,Buenos Aires
FAC02578,C0228,Jabonera Ceramica,Bano,3,9800.0,29400.0,2023-12-23,Buenos Aires
FAC02578,C0228,Mantel Navideno,Decoracion,3,22600.0,67800.0,2023-12-23,Buenos Aires
FAC01778,C0109,Taza Ceramica Blanca,Cocina,1,8300.0,8300.0,2023-12-23,Rosario
FAC01778,C0109,Tabla de Cortar Madera,Cocina,2,18100.0,36200.0,2023-12-23,Rosario
FAC01778,C0109,Lazo Decorativo,Regaleria,1,1200.0,1200.0,2023-12-23,Rosario
FAC01778,C0109,Difusor Cana,Aromatizacion,3,21100.0,63300.0,2023-12-23,Rosario
FAC01778,C0109,Delantal de Cocina,Cocina,4,12800.0,51200.0,2023-12-23,Rosario
FAC02578,C0228,Set Sal y Pimienta,Cocina,3,19600.0,58800.0,2023-12-23,Buenos Aires
FAC03154,C0311,Juego de Te x6,Cocina,1,33200.0,33200.0,2023-12-24,Córdoba
FAC02419,C0208,Vela Aromatica Lavanda,Velas,3,5300.0,15900.0,2023-12-24,Buenos Aires
FAC03154,C0311,Taza Ceramica Blanca,Cocina,3,8300.0,24900.0,2023-12-24,Córdoba
FAC03154,C0311,Delantal de Cocina,Cocina,4,12800.0,51200.0,2023-12-24,Córdoba
FAC02419,C0208,Vela Aromatica Vainilla,Velas,2,5300.0,10600.0,2023-12-24,Buenos Aires
FAC02419,C0208,Portavelas Cristal,Velas,4,13600.0,54400.0,2023-12-24,Buenos Aires
FAC02419,C0208,Esencia Rosa,Aromatizacion,3,6000.0,18000.0,2023-12-24,Buenos Aires
FAC02419,C0208,Jabonera Ceramica,Bano,2,9800.0,19600.0,2023-12-24,Buenos Aires
FAC03361,C0344,Bolsa Regalo Pequeña,Regaleria,3,2300.0,6900.0,2023-12-24,Buenos Aires
FAC03361,C0344,Jabonera Ceramica,Bano,3,9800.0,29400.0,2023-12-24,Buenos Aires
FAC03361,C0344,Dispensador Jabon,Bano,4,13600.0,54400.0,2023-12-24,Buenos Aires
FAC02522,C0222,Papel Tissue Colores,Regaleria,3,1500.0,4500.0,2023-12-25,La Plata
FAC02522,C0222,Bolsa Regalo Grande,Regaleria,3,3000.0,9000.0,2023-12-25,La Plata
FAC02526,C0222,Papel Tissue Colores,Regaleria,3,1500.0,4500.0,2023-12-25,Buenos Aires
FAC02526,C0222,Toallero Bambu,Bano,4,24200.0,96800.0,2023-12-25,Buenos Aires
FAC02434,C0211,Bolsa Regalo Grande,Regaleria,1,3000.0,3000.0,2023-12-25,Mendoza
FAC02434,C0211,Vaso Bambu,Bano,3,7600.0,22800.0,2023-12-25,Mendoza
FAC02522,C0222,Lazo Decorativo,Regaleria,1,1200.0,1200.0,2023-12-25,La Plata
FAC02526,C0222,Juego de Te x6,Cocina,4,33200.0,132800.0,2023-12-25,Buenos Aires
FAC02522,C0222,Guirnalda LED,Decoracion,1,16600.0,16600.0,2023-12-25,La Plata
FAC02526,C0222,Espejo Redondo,Decoracion,1,30200.0,30200.0,2023-12-25,Buenos Aires
